ONS Code,Local Authority,Owner occupied,Private rented,Social,All Rented,Owner occupied,Private rented,Social,All Rented
E07000092,Rushmoor,1660,692,581,1273,6.91,9.25,6.94,8.03
E06000017,Rutland,2662,899,341,1240,23.37,30.39,14.56,23.4
E08000006,Salford,9196,5703,2937,8640,14.96,21.42,9.92,15.36
E08000028,Sandwell,10679,3230,4852,8082,13.94,15.64,13.63,14.37
E08000014,Sefton,15017,4219,2236,6455,16.76,23.79,12.05,17.79
E07000111,Sevenoaks,3243,832,561,1393,8.91,12.37,8.56,10.49
E08000019,Sheffield,23204,15351,6880,22231,16.5,34.87,12.76,22.7
E06000051,Shropshire,21322,5626,3041,8667,21.48,23.3,16.17,20.18
E06000039,Slough,2666,1724,803,2527,9.18,12.07,8.15,10.47
E08000029,Solihull,7042,1328,1379,2707,10.42,12.67,10.44,11.43
E06000066,Somerset,34809,13088,6368,19456,19.89,28.51,17.61,23.71
E07000012,South Cambridgeshire,6158,2415,459,2874,12.83,25.13,4.75,14.91
E07000039,South Derbyshire,5580,1740,501,2241,16.67,24.35,10.86,19.06
E06000025,South Gloucestershire,9773,3527,1513,5040,11.13,17.4,11.33,14.99
E07000044,South Hams,7380,2561,941,3502,25.29,35.93,22.99,31.21
E07000140,South Holland,6046,1862,653,2515,20.4,29.72,13.64,22.75
E07000141,South Kesteven,7955,3035,1012,4047,18.19,27.31,12.66,21.18
E07000149,South Norfolk,7619,2580,379,2959,16.62,31.11,5.07,18.76
E07000179,South Oxfordshire,4186,1306,583,1889,9.26,13.19,8.05,11.02
E07000126,South Ribble,4755,1092,435,1527,12.33,18.27,8.37,13.66
E07000196,South Staffordshire,4342,702,780,1482,12.24,14.12,11.81,12.8
E08000023,South Tyneside,4257,2339,1905,4244,10.74,25.74,9.13,14.17
E06000045,Southampton,5603,3959,2529,6488,10.52,14.38,11,12.84
E06000033,Southend-on-Sea,7141,4524,509,5033,13.98,24.99,5.4,18.28
E09000028,Southwark,3092,6200,6076,12276,6.95,17.54,11.15,13.67
E07000213,Spelthorne,2236,632,369,1001,7.3,10.02,6.78,8.52
E07000240,St Albans,3991,1729,258,1987,9.33,18.8,3.57,12.1
E08000013,St. Helens,7341,2468,1755,4223,13.71,19.96,10.37,14.42
E07000197,Stafford,6341,1483,1054,2537,14.55,16.42,12.26,14.39
E07000198,Staffordshire Moorlands,6308,1082,563,1645,18.37,21.01,15.25,18.61
E07000243,Stevenage,1886,809,357,1166,8.64,16.36,3.62,7.87
E08000007,Stockport,14127,4017,1946,5963,15.05,21.93,11.22,16.72
E06000004,Stockton-on-Tees,4820,2931,1155,4086,8.37,20.83,8.44,14.72
E06000021,Stoke-on-Trent,9657,3003,3398,6401,14.06,15.92,13.51,14.54
E07000221,Stratford-on-Avon,8229,2041,1131,3172,18.69,22.91,14.73,19.12
E07000082,Stroud,7241,2307,1107,3414,18.73,27.98,16.15,22.61
E08000024,Sunderland,7580,4883,2977,7860,10.41,26.3,8.99,15.2
E07000214,Surrey Heath,1475,377,231,608,5.4,7.19,5.84,6.61
E09000029,Sutton,4271,3014,1342,4356,7.44,19.9,11.05,15.96
E07000113,Swale,4098,1486,678,2164,9.7,13.64,8.27,11.33
E06000030,Swindon,6936,3214,2031,5245,10.85,16.82,13.03,15.12
E08000008,Tameside,10161,3868,2346,6214,15.97,23.66,10.76,16.28
E07000199,Tamworth,2280,517,651,1168,9.87,11.72,10.79,11.18
E07000215,Tandridge,2403,592,312,904,8.86,12.04,7.62,10.03
E07000045,Teignbridge,8723,3314,955,4269,19.61,29.27,17.01,25.2
E06000020,Telford and Wrekin,5331,1615,1324,2939,10.53,12.03,9.47,10.72
E07000076,Tendring,7158,3296,298,3594,14.34,27.43,5.16,20.2
E07000093,Test Valley,3087,946,654,1600,8.08,11,7.53,9.25
E07000083,Tewkesbury,3988,1320,576,1896,13.11,20.34,11.14,16.26
E07000114,Thanet,4287,2262,834,3096,10.8,14.18,11.28,13.27
E07000102,Three Rivers,2564,837,190,1027,9.56,17.87,3.45,10.08
E06000034,Thurrock,4815,2355,531,2886,10.88,21.78,4.58,12.88
E07000115,Tonbridge and Malling,2903,739,557,1296,7.41,10.67,6.76,8.55
E06000027,Torbay,7442,4237,841,5078,17.34,25.56,16.08,23.28
E07000046,Torridge,5913,2412,617,3029,26.61,37.72,23.29,33.49
E09000030,Tower Hamlets,1990,5848,3380,9228,5.43,13.26,7.84,10.58
E08000009,Trafford,10039,3078,1554,4632,14.79,19.95,10.23,15.13
E07000116,Tunbridge Wells,4046,1593,726,2319,12.45,16.74,10.56,14.14
E07000077,Uttlesford,4146,1762,219,1981,15.62,30.48,4.6,18.8
E07000180,Vale of White Horse,3397,1115,531,1646,8.28,11.69,6.88,9.54
E08000036,Wakefield,13846,6865,3673,10538,13.87,30.72,10.48,18.36
E08000030,Walsall,8889,2152,3348,5500,12.41,13.9,12.24,12.84
E09000031,Waltham Forest,5433,6949,3302,10251,10,23.92,14.73,19.92
E09000032,Wandsworth,4836,8165,2914,11079,7.11,17.58,10.9,15.14
E06000007,Warrington,7952,2175,1304,3479,12.18,16.9,9,12.72
E07000222,Warwick,5863,2055,1221,3276,13.76,16.78,13.55,15.41
E07000103,Watford,3555,2139,313,2452,14.43,24.93,4.76,16.18
E07000216,Waverley,3468,903,486,1389,8.83,11.89,7.74,10.01
E07000065,Wealden,6285,1511,443,1954,11.64,15.73,7.94,12.86
E07000241,Welwyn Hatfield,2467,1295,413,1708,9.08,17.72,3.46,8.87
E06000037,West Berkshire,3985,1319,745,2064,8.49,11.73,7.91,9.99
E07000047,West Devon,5178,1836,552,2388,28.24,39.63,22.1,33.49
E07000127,West Lancashire,5662,1492,754,2246,15.83,22.33,10.53,16.22
E07000142,West Lindsey,6852,2156,674,2830,22.53,30.89,13.61,23.72
E06000062,West Northamptonshire,20954,8143,3164,11307,18.04,26.28,12.44,20.04
E07000181,West Oxfordshire,3516,1191,488,1679,10.35,13.91,7.99,11.44
E07000245,West Suffolk,6836,4173,532,4705,13.56,25.41,4.36,16.44
E09000033,Westminster,3689,10529,3190,13719,10.5,25.33,15.23,21.95
E06000064,Westmorland and Furness,20632,6976,1504,8480,26.82,36.67,15.09,29.26
E08000010,Wigan,13149,4344,2498,6842,13.31,19.91,9.73,14.41
E06000054,Wiltshire,23824,9989,4544,14533,16.1,23.78,14.58,19.86
E07000094,Winchester,3349,1089,664,1753,9.41,12.11,8.48,10.42
E06000040,Windsor and Maidenhead,3073,1202,554,1756,7.26,10.06,7.41,9.04
E08000015,Wirral,15241,5762,2506,8268,15.68,21.42,11.21,16.79
E07000217,Woking,2133,783,352,1135,7.23,10.41,7.09,9.09
E06000041,Wokingham,2842,704,253,957,5.13,7.38,4.86,6.49
E08000031,Wolverhampton,8966,2723,3799,6522,14.19,16.11,13.98,14.79
E07000237,Worcester,4075,1419,945,2364,13.96,16.09,12.46,14.41
E07000229,Worthing,3686,1747,512,2259,10.58,16.48,10.78,14.72
E07000238,Wychavon,7573,1599,1244,2843,18.01,21.26,13.98,17.31
E07000128,Wyre,6319,1894,403,2297,15.93,22.46,10.54,18.74
E07000239,Wyre Forest,4898,1201,876,2077,14.93,17.47,13.43,15.5
E06000014,York,8843,5715,1458,7173,15.41,31.76,11.67,23.53
